"A2A.MI","AMP.MI","ATL.MI","AZM.MI","BGN.MI","BMED.MI","BAMI.MI","BPE.MI","BZU.MI","CPR.MI","CNHI.MI","DIA.MI","ENEL.MI","ENI.MI","EXO.MI","FBK.MI","G.MI","HER.MI","IP.MI","ISP.MI","LDO.MI","MB.MI","MONC.MI","PRY.MI","REC.MI","SPM.MI","SRG.MI","STLA.MI","STM.MI","TIT.MI","TEN.MI","TRN.MI","UCG.MI","UNI.MI","date"
0.698928,5.491163,19.117664,14.4719,18.257893,4.561015,8.777415,6.704574,11.473215,2.876818,6.464796,34.233864,3.135344,11.422904,37.619255,4.663346,12.931522,1.726114,12.719549,1.817204,10.293968,6.610866,12.488994,14.642838,13.852413,11.478882,3.256032,6.15375,7.119579,1.066184,10.212154,3.066104,24.399538,3.613524,"2015-03-04"
0.704379,5.50073,19.40052,14.599523,18.427015,4.677437,8.941172,6.812409,11.827098,2.881542,6.377019,33.851677,3.155158,11.478865,37.428543,4.786281,12.973828,1.722839,12.785601,1.854932,10.25633,6.792261,13.804116,14.768492,14.221012,11.529008,3.336999,6.215375,7.247783,1.061316,10.355989,3.126134,24.787477,3.650185,"2015-03-05"
0.70399,5.572478,19.30069,14.803709,18.985857,4.70483,9.032876,6.939,11.994728,2.881542,6.477963,34.215668,3.117053,11.373939,37.142467,4.868238,13.206511,1.749041,13.021498,1.86122,10.228103,6.727765,14.289124,14.760115,14.229584,11.654324,3.263261,6.188965,7.277697,1.055474,10.459868,3.090732,24.991661,3.675689,"2015-03-06"
0.695813,5.562912,19.749929,14.841995,19.140276,4.708254,8.980473,7.19218,11.864348,2.876818,6.44724,34.033672,3.107907,11.59778,37.056641,4.90102,13.347531,1.758868,12.842216,1.877568,10.350426,6.711641,13.990657,14.82713,14.281016,12.130522,3.283504,6.228582,7.243509,1.032105,10.69959,3.084575,25.052912,3.72032,"2015-03-09"
0.695813,5.52943,19.85808,14.650568,19.22851,4.711678,8.993574,7.271884,11.678096,2.924056,6.249742,33.888073,3.077422,11.303988,36.770554,4.90102,13.18536,1.727752,12.927138,1.870023,10.623301,6.675362,13.888061,14.944408,14.2553,11.904954,3.22567,6.232983,7.380261,1.011658,10.292063,3.024546,24.767061,3.658155,"2015-03-10"
0.715282,5.548563,19.799845,14.950472,19.522635,4.793858,9.052526,7.3469,11.808474,3.025619,6.289241,34.24297,3.174973,11.492854,37.371323,4.929706,13.446246,1.762143,12.99319,1.89769,11.216098,6.816447,13.962676,15.581054,14.70962,11.980143,3.276274,6.448672,7.64094,1.089553,10.355989,3.093811,25.012077,3.686846,"2015-03-11"
0.726184,5.586829,19.691696,15.697039,19.485872,4.855494,9.288338,7.450047,11.929538,3.053962,6.319963,34.47047,3.142965,11.422904,37.31411,4.909216,12.853961,1.796534,13.021498,1.911523,11.122002,6.840632,13.953348,15.488906,14.606752,12.030269,3.279166,6.56312,7.380261,1.086632,10.459868,3.079957,25.440857,3.653373,"2015-03-12"
0.741759,5.649011,19.8664,16.169228,20.338839,4.886312,9.262137,7.464113,12.171667,3.053962,6.37263,34.961861,3.13077,10.898276,37.886269,4.95839,12.797554,1.812911,12.946011,1.916554,11.122002,7.074432,14.307779,15.589431,15.078215,11.334768,3.250249,6.866847,7.50419,1.085658,10.140238,3.072261,25.338766,3.618306,"2015-03-13"
0.743706,5.701626,20.482027,16.635031,20.882973,4.971916,9.32764,7.450047,12.376545,3.077581,6.398963,35.380463,3.158207,10.660444,39.631344,5.019858,12.91037,1.812911,12.964882,1.97566,11.225507,7.050246,14.904712,15.555923,15.361092,10.864836,3.266153,6.954882,7.854614,1.110974,10.084304,3.089192,25.706289,3.648592,"2015-03-16"
0.731635,5.682493,20.282364,16.252174,20.574139,4.944522,9.275238,7.173425,12.134416,3.094115,6.390185,35.171158,3.147537,10.70941,38.925682,5.069032,12.719994,1.794897,13.106421,1.951766,10.933813,6.961565,14.550283,15.15383,15.172508,10.877369,3.270491,6.809621,7.880253,1.104158,10.084304,3.093811,25.379604,3.615118,"2015-03-17"
0.737865,5.735109,20.057741,16.290461,20.574139,4.944522,9.032876,7.154671,12.367232,3.082305,6.482351,34.861759,3.144489,10.870296,39.412018,4.962488,12.790503,1.785071,13.21965,1.901462,10.623301,6.901099,14.195854,15.706707,14.812482,11.09667,3.238683,6.615941,7.803335,1.068132,10.244118,3.092272,24.807896,3.592802,"2015-03-18"
0.7476,5.902522,20.215811,16.532936,20.87562,4.947948,9.190084,7.267196,12.376545,3.096476,6.56574,34.852657,3.24966,10.989212,39.583656,5.060836,12.853961,1.785071,13.342319,1.90775,10.745624,7.005904,14.20518,15.840735,14.949636,11.529008,3.216995,6.734791,7.717863,1.066184,10.212154,3.081497,25.318348,3.546578,"2015-03-19"
0.749936,6.065153,20.465387,16.90941,21.169744,5.013007,9.268688,7.323458,12.525549,3.089391,6.600851,35.817253,3.315202,11.366943,39.526451,5.150989,12.966777,1.798172,13.587649,1.965599,10.755033,7.030091,14.373067,15.916127,15.009639,11.735779,3.322541,6.690773,7.871708,1.06521,10.371969,3.146143,25.726706,3.640622,"2015-03-20"
0.756945,5.979055,20.357237,16.851982,21.103567,5.149973,9.5176,7.482867,12.506924,3.065772,6.556962,36.499752,3.264902,11.269014,38.982903,5.245239,12.952676,1.830925,13.493291,1.945478,10.679757,7.02606,14.223834,15.890999,15.112501,11.980143,3.305191,6.567522,7.7853,1.076895,10.435896,3.146143,25.6042,3.771327,"2015-03-23"
0.74721,6.069935,20.357237,16.934935,21.191805,5.197913,9.491397,7.539129,12.730428,3.035067,6.728128,36.872841,3.306057,11.289998,39.783916,5.220652,13.143052,1.840752,13.663136,2.01213,10.792671,7.22358,14.512976,16.025026,15.086787,11.942548,3.305191,6.681969,7.780981,1.073974,10.371969,3.150761,25.971725,3.865371,"2015-03-24"
0.752662,6.065153,20.074381,16.705219,21.316807,5.259549,9.491397,7.557884,12.544175,3.023257,6.64474,37.045734,3.271,11.185072,39.745773,5.204261,13.079595,1.829288,13.682008,1.992008,10.510386,7.207455,14.177198,16.050158,15.001065,12.080395,3.293624,6.615941,7.43535,1.055474,10.547766,3.144604,25.849218,3.902032,"2015-03-25"
0.754608,6.055586,19.891357,16.405317,21.353575,5.102035,9.458646,7.389097,12.367232,3.023257,6.535018,37.07304,3.213079,11.185072,39.164085,5.208359,12.931522,1.793259,13.710314,1.968114,10.341015,7.013967,14.214508,15.765346,14.829624,12.092927,3.244466,6.576325,7.154527,1.061316,10.499821,3.106124,25.502111,3.903626,"2015-03-26"
0.751493,5.979055,20.165894,16.8456,21.331516,5.126004,9.425895,7.515687,12.320668,3.065772,6.561351,37.054844,3.228322,11.220047,39.4883,5.208359,12.959725,1.798172,13.455547,1.974402,10.425701,7.090556,14.531629,15.916127,14.298158,11.898688,3.289287,6.642353,7.301418,1.057421,10.371969,3.138447,25.461275,3.916378,"2015-03-27"
0.754608,6.103419,20.373877,16.979601,21.27269,5.136276,9.491397,7.614145,12.618674,3.094115,6.64035,37.810131,3.23137,11.317978,40.213036,5.253435,13.05139,1.809636,14.20098,2.015902,10.491567,7.255829,14.568937,16.175812,15.086787,11.87989,3.308083,6.761201,7.539041,1.064237,10.419912,3.161536,26.03298,3.968979,"2015-03-30"
0.75344,6.06037,20.340599,16.954075,21.449165,5.146549,9.53725,7.628211,12.991181,3.068134,6.688627,37.245945,3.210031,11.283004,40.327457,5.265729,12.91037,1.789984,14.276467,1.99075,10.425701,7.203424,14.55961,16.075291,14.915347,11.898688,3.267599,6.668764,7.508795,1.063263,10.435896,3.155379,25.849218,3.933911,"2015-03-31"
